"","race","famType","edu1","edu2","income","icon"
"1","white","man","noHS",NA,"0-20",0
"2","white","man","HS",NA,"0-20",0
"3","white","man","someCollege",NA,"0-20",0
"4","white","man","BA",NA,"0-20",0
"5","white","man","grad",NA,"0-20",0
"6","black","man","noHS",NA,"0-20",0
"7","black","man","HS",NA,"0-20",0
"8","black","man","someCollege",NA,"0-20",0
"9","black","man","BA",NA,"0-20",0
"10","black","man","grad",NA,"0-20",0
"11","latino","man","noHS",NA,"0-20",0
"12","latino","man","HS",NA,"0-20",0
"13","latino","man","someCollege",NA,"0-20",0
"14","latino","man","BA",NA,"0-20",0
"15","latino","man","grad",NA,"0-20",0
"16","other","man","noHS",NA,"0-20",0
"17","other","man","HS",NA,"0-20",0
"18","other","man","someCollege",NA,"0-20",0
"19","other","man","BA",NA,"0-20",0
"20","other","man","grad",NA,"0-20",0
"21","white","woman","noHS",NA,"0-20",0
"22","white","woman","HS",NA,"0-20",0
"23","white","woman","someCollege",NA,"0-20",0
"24","white","woman","BA",NA,"0-20",0
"25","white","woman","grad",NA,"0-20",0
"26","black","woman","noHS",NA,"0-20",0
"27","black","woman","HS",NA,"0-20",0
"28","black","woman","someCollege",NA,"0-20",0
"29","black","woman","BA",NA,"0-20",0
"30","black","woman","grad",NA,"0-20",0
"31","latino","woman","noHS",NA,"0-20",0
"32","latino","woman","HS",NA,"0-20",0
"33","latino","woman","someCollege",NA,"0-20",0
"34","latino","woman","BA",NA,"0-20",0
"35","latino","woman","grad",NA,"0-20",0
"36","other","woman","noHS",NA,"0-20",0
"37","other","woman","HS",NA,"0-20",0
"38","other","woman","someCollege",NA,"0-20",0
"39","other","woman","BA",NA,"0-20",0
"40","other","woman","grad",NA,"0-20",0
"41","white","manDep","noHS",NA,"0-20",0
"42","white","manDep","HS",NA,"0-20",0
"43","white","manDep","someCollege",NA,"0-20",0
"44","white","manDep","BA",NA,"0-20",0
"45","white","manDep","grad",NA,"0-20",0
"46","black","manDep","noHS",NA,"0-20",0
"47","black","manDep","HS",NA,"0-20",0
"48","black","manDep","someCollege",NA,"0-20",0
"49","black","manDep","BA",NA,"0-20",0
"50","black","manDep","grad",NA,"0-20",0
"51","latino","manDep","noHS",NA,"0-20",0
"52","latino","manDep","HS",NA,"0-20",0
"53","latino","manDep","someCollege",NA,"0-20",0
"54","latino","manDep","BA",NA,"0-20",0
"55","latino","manDep","grad",NA,"0-20",0
"56","other","manDep","noHS",NA,"0-20",0
"57","other","manDep","HS",NA,"0-20",0
"58","other","manDep","someCollege",NA,"0-20",0
"59","other","manDep","BA",NA,"0-20",0
"60","other","manDep","grad",NA,"0-20",0
"61","white","womanDep","noHS",NA,"0-20",0
"62","white","womanDep","HS",NA,"0-20",0
"63","white","womanDep","someCollege",NA,"0-20",0
"64","white","womanDep","BA",NA,"0-20",0
"65","white","womanDep","grad",NA,"0-20",0
"66","black","womanDep","noHS",NA,"0-20",0
"67","black","womanDep","HS",NA,"0-20",0
"68","black","womanDep","someCollege",NA,"0-20",0
"69","black","womanDep","BA",NA,"0-20",0
"70","black","womanDep","grad",NA,"0-20",0
"71","latino","womanDep","noHS",NA,"0-20",0
"72","latino","womanDep","HS",NA,"0-20",0
"73","latino","womanDep","someCollege",NA,"0-20",0
"74","latino","womanDep","BA",NA,"0-20",0
"75","latino","womanDep","grad",NA,"0-20",0
"76","other","womanDep","noHS",NA,"0-20",0
"77","other","womanDep","HS",NA,"0-20",0
"78","other","womanDep","someCollege",NA,"0-20",0
"79","other","womanDep","BA",NA,"0-20",0
"80","other","womanDep","grad",NA,"0-20",0
"81","white","couple","noHS","BA","0-20",0
"82","white","couple","noHS","grad","0-20",0
"83","white","couple","noHS","HS","0-20",0
"84","white","couple","noHS","noHS","0-20",0
"85","white","couple","noHS","someCollege","0-20",0
"86","white","couple","HS","BA","0-20",0
"87","white","couple","HS","grad","0-20",0
"88","white","couple","HS","HS","0-20",0
"89","white","couple","HS","noHS","0-20",0
"90","white","couple","HS","someCollege","0-20",0
"91","white","couple","someCollege","BA","0-20",0
"92","white","couple","someCollege","grad","0-20",0
"93","white","couple","someCollege","HS","0-20",0
"94","white","couple","someCollege","noHS","0-20",0
"95","white","couple","someCollege","someCollege","0-20",0
"96","white","couple","BA","BA","0-20",0
"97","white","couple","BA","grad","0-20",0
"98","white","couple","BA","HS","0-20",0
"99","white","couple","BA","noHS","0-20",0
"100","white","couple","BA","someCollege","0-20",0
"101","white","couple","grad","BA","0-20",0
"102","white","couple","grad","grad","0-20",0
"103","white","couple","grad","HS","0-20",0
"104","white","couple","grad","noHS","0-20",0
"105","white","couple","grad","someCollege","0-20",0
"106","black","couple","noHS","BA","0-20",0
"107","black","couple","noHS","grad","0-20",0
"108","black","couple","noHS","HS","0-20",0
"109","black","couple","noHS","noHS","0-20",0
"110","black","couple","noHS","someCollege","0-20",0
"111","black","couple","HS","BA","0-20",0
"112","black","couple","HS","grad","0-20",0
"113","black","couple","HS","HS","0-20",0
"114","black","couple","HS","noHS","0-20",0
"115","black","couple","HS","someCollege","0-20",0
"116","black","couple","someCollege","BA","0-20",0
"117","black","couple","someCollege","grad","0-20",0
"118","black","couple","someCollege","HS","0-20",0
"119","black","couple","someCollege","noHS","0-20",0
"120","black","couple","someCollege","someCollege","0-20",0
"121","black","couple","BA","BA","0-20",0
"122","black","couple","BA","grad","0-20",0
"123","black","couple","BA","HS","0-20",0
"124","black","couple","BA","noHS","0-20",0
"125","black","couple","BA","someCollege","0-20",0
"126","black","couple","grad","BA","0-20",0
"127","black","couple","grad","grad","0-20",0
"128","black","couple","grad","HS","0-20",0
"129","black","couple","grad","noHS","0-20",0
"130","black","couple","grad","someCollege","0-20",0
"131","latino","couple","noHS","BA","0-20",0
"132","latino","couple","noHS","grad","0-20",0
"133","latino","couple","noHS","HS","0-20",0
"134","latino","couple","noHS","noHS","0-20",0
"135","latino","couple","noHS","someCollege","0-20",0
"136","latino","couple","HS","BA","0-20",0
"137","latino","couple","HS","grad","0-20",0
"138","latino","couple","HS","HS","0-20",0
"139","latino","couple","HS","noHS","0-20",0
"140","latino","couple","HS","someCollege","0-20",0
"141","latino","couple","someCollege","BA","0-20",0
"142","latino","couple","someCollege","grad","0-20",0
"143","latino","couple","someCollege","HS","0-20",0
"144","latino","couple","someCollege","noHS","0-20",0
"145","latino","couple","someCollege","someCollege","0-20",0
"146","latino","couple","BA","BA","0-20",0
"147","latino","couple","BA","grad","0-20",0
"148","latino","couple","BA","HS","0-20",0
"149","latino","couple","BA","noHS","0-20",0
"150","latino","couple","BA","someCollege","0-20",0
"151","latino","couple","grad","BA","0-20",0
"152","latino","couple","grad","grad","0-20",0
"153","latino","couple","grad","HS","0-20",0
"154","latino","couple","grad","noHS","0-20",0
"155","latino","couple","grad","someCollege","0-20",0
"156","other","couple","noHS","BA","0-20",0
"157","other","couple","noHS","grad","0-20",0
"158","other","couple","noHS","HS","0-20",0
"159","other","couple","noHS","noHS","0-20",0
"160","other","couple","noHS","someCollege","0-20",0
"161","other","couple","HS","BA","0-20",0
"162","other","couple","HS","grad","0-20",0
"163","other","couple","HS","HS","0-20",0
"164","other","couple","HS","noHS","0-20",0
"165","other","couple","HS","someCollege","0-20",0
"166","other","couple","someCollege","BA","0-20",0
"167","other","couple","someCollege","grad","0-20",0
"168","other","couple","someCollege","HS","0-20",0
"169","other","couple","someCollege","noHS","0-20",0
"170","other","couple","someCollege","someCollege","0-20",0
"171","other","couple","BA","BA","0-20",0
"172","other","couple","BA","grad","0-20",0
"173","other","couple","BA","HS","0-20",0
"174","other","couple","BA","noHS","0-20",0
"175","other","couple","BA","someCollege","0-20",0
"176","other","couple","grad","BA","0-20",0
"177","other","couple","grad","grad","0-20",0
"178","other","couple","grad","HS","0-20",0
"179","other","couple","grad","noHS","0-20",0
"180","other","couple","grad","someCollege","0-20",0
"181","white","man","noHS",NA,"20-40",0
"182","white","man","HS",NA,"20-40",0
"183","white","man","someCollege",NA,"20-40",0
"184","white","man","BA",NA,"20-40",0
"185","white","man","grad",NA,"20-40",0
"186","black","man","noHS",NA,"20-40",0
"187","black","man","HS",NA,"20-40",0
"188","black","man","someCollege",NA,"20-40",0
"189","black","man","BA",NA,"20-40",0
"190","black","man","grad",NA,"20-40",0
"191","latino","man","noHS",NA,"20-40",0
"192","latino","man","HS",NA,"20-40",0
"193","latino","man","someCollege",NA,"20-40",0
"194","latino","man","BA",NA,"20-40",0
"195","latino","man","grad",NA,"20-40",0
"196","other","man","noHS",NA,"20-40",0
"197","other","man","HS",NA,"20-40",0
"198","other","man","someCollege",NA,"20-40",0
"199","other","man","BA",NA,"20-40",0
"200","other","man","grad",NA,"20-40",0
"201","white","woman","noHS",NA,"20-40",0
"202","white","woman","HS",NA,"20-40",0
"203","white","woman","someCollege",NA,"20-40",0
"204","white","woman","BA",NA,"20-40",0
"205","white","woman","grad",NA,"20-40",0
"206","black","woman","noHS",NA,"20-40",0
"207","black","woman","HS",NA,"20-40",0
"208","black","woman","someCollege",NA,"20-40",0
"209","black","woman","BA",NA,"20-40",0
"210","black","woman","grad",NA,"20-40",0
"211","latino","woman","noHS",NA,"20-40",0
"212","latino","woman","HS",NA,"20-40",0
"213","latino","woman","someCollege",NA,"20-40",0
