race,gender,familyType,education,income,icon
white,man,single,noHS,inc150175,0
black,man,single,noHS,inc150175,0
latino,man,single,noHS,inc150175,0
other,man,single,noHS,inc150175,0
white,woman,single,noHS,inc150175,0
black,woman,single,noHS,inc150175,0
latino,woman,single,noHS,inc150175,0
other,woman,single,noHS,inc150175,0
white,man,singlewithDependent,noHS,inc150175,0
black,man,singlewithDependent,noHS,inc150175,0
latino,man,singlewithDependent,noHS,inc150175,0
other,man,singlewithDependent,noHS,inc150175,1
white,woman,singlewithDependent,noHS,inc150175,0
black,woman,singlewithDependent,noHS,inc150175,0
latino,woman,singlewithDependent,noHS,inc150175,0
other,woman,singlewithDependent,noHS,inc150175,0
white,man,Couple,noHS,inc150175,0
black,man,Couple,noHS,inc150175,0
latino,man,Couple,noHS,inc150175,0
other,man,Couple,noHS,inc150175,0
white,woman,Couple,noHS,inc150175,0
black,woman,Couple,noHS,inc150175,0
latino,woman,Couple,noHS,inc150175,0
other,woman,Couple,noHS,inc150175,0
white,man,single,HS,inc150175,1
black,man,single,HS,inc150175,0
latino,man,single,HS,inc150175,0
other,man,single,HS,inc150175,0
white,woman,single,HS,inc150175,0
black,woman,single,HS,inc150175,0
latino,woman,single,HS,inc150175,0
other,woman,single,HS,inc150175,0
white,man,singlewithDependent,HS,inc150175,0
black,man,singlewithDependent,HS,inc150175,0
latino,man,singlewithDependent,HS,inc150175,0
other,man,singlewithDependent,HS,inc150175,0
white,woman,singlewithDependent,HS,inc150175,0
black,woman,singlewithDependent,HS,inc150175,0
latino,woman,singlewithDependent,HS,inc150175,0
other,woman,singlewithDependent,HS,inc150175,0
white,man,Couple,HS,inc150175,3
black,man,Couple,HS,inc150175,0
latino,man,Couple,HS,inc150175,0
other,man,Couple,HS,inc150175,0
white,woman,Couple,HS,inc150175,2
black,woman,Couple,HS,inc150175,0
latino,woman,Couple,HS,inc150175,0
other,woman,Couple,HS,inc150175,0
white,man,single,someCollege,inc150175,0
black,man,single,someCollege,inc150175,0
latino,man,single,someCollege,inc150175,0
other,man,single,someCollege,inc150175,0
white,woman,single,someCollege,inc150175,0
black,woman,single,someCollege,inc150175,0
latino,woman,single,someCollege,inc150175,0
other,woman,single,someCollege,inc150175,0
white,man,singlewithDependent,someCollege,inc150175,0
black,man,singlewithDependent,someCollege,inc150175,0
latino,man,singlewithDependent,someCollege,inc150175,0
other,man,singlewithDependent,someCollege,inc150175,0
white,woman,singlewithDependent,someCollege,inc150175,1
black,woman,singlewithDependent,someCollege,inc150175,0
latino,woman,singlewithDependent,someCollege,inc150175,0
other,woman,singlewithDependent,someCollege,inc150175,0
white,man,Couple,someCollege,inc150175,1
black,man,Couple,someCollege,inc150175,0
latino,man,Couple,someCollege,inc150175,0
other,man,Couple,someCollege,inc150175,1
white,woman,Couple,someCollege,inc150175,6
black,woman,Couple,someCollege,inc150175,0
latino,woman,Couple,someCollege,inc150175,0
other,woman,Couple,someCollege,inc150175,1
white,man,single,BA,inc150175,1
black,man,single,BA,inc150175,0
latino,man,single,BA,inc150175,0
other,man,single,BA,inc150175,0
white,woman,single,BA,inc150175,0
black,woman,single,BA,inc150175,0
latino,woman,single,BA,inc150175,0
other,woman,single,BA,inc150175,0
white,man,singlewithDependent,BA,inc150175,0
black,man,singlewithDependent,BA,inc150175,0
latino,man,singlewithDependent,BA,inc150175,0
other,man,singlewithDependent,BA,inc150175,0
white,woman,singlewithDependent,BA,inc150175,0
black,woman,singlewithDependent,BA,inc150175,0
latino,woman,singlewithDependent,BA,inc150175,0
other,woman,singlewithDependent,BA,inc150175,0
white,man,Couple,BA,inc150175,5
black,man,Couple,BA,inc150175,1
latino,man,Couple,BA,inc150175,0
other,man,Couple,BA,inc150175,0
white,woman,Couple,BA,inc150175,3
black,woman,Couple,BA,inc150175,1
latino,woman,Couple,BA,inc150175,0
other,woman,Couple,BA,inc150175,0
white,man,single,grad,inc150175,0
black,man,single,grad,inc150175,0
latino,man,single,grad,inc150175,0
other,man,single,grad,inc150175,0
white,woman,single,grad,inc150175,0
black,woman,single,grad,inc150175,0
latino,woman,single,grad,inc150175,0
other,woman,single,grad,inc150175,0
white,man,singlewithDependent,grad,inc150175,0
black,man,singlewithDependent,grad,inc150175,0
latino,man,singlewithDependent,grad,inc150175,0
other,man,singlewithDependent,grad,inc150175,0
white,woman,singlewithDependent,grad,inc150175,0
black,woman,singlewithDependent,grad,inc150175,0
latino,woman,singlewithDependent,grad,inc150175,0
other,woman,singlewithDependent,grad,inc150175,0
white,man,Couple,grad,inc150175,1
black,man,Couple,grad,inc150175,1
latino,man,Couple,grad,inc150175,0
other,man,Couple,grad,inc150175,1
