"race","gender","familyType","education","income","icon"
"White","Man","Single","No High School","inc025",4
"Black","Man","Single","No High School","inc025",2
"Latino","Man","Single","No High School","inc025",4
"Other","Man","Single","No High School","inc025",0
"White","Man","Single","High School","inc025",11
"Black","Man","Single","High School","inc025",2
"Latino","Man","Single","High School","inc025",2
"Other","Man","Single","High School","inc025",1
"White","Man","Single","Some College","inc025",8
"Black","Man","Single","Some College","inc025",2
"Latino","Man","Single","Some College","inc025",1
"Other","Man","Single","Some College","inc025",2
"White","Man","Single","Bachelor's Degree","inc025",4
"Black","Man","Single","Bachelor's Degree","inc025",1
"Latino","Man","Single","Bachelor's Degree","inc025",0
"Other","Man","Single","Bachelor's Degree","inc025",0
"White","Man","Single","Graduate Degree","inc025",1
"Black","Man","Single","Graduate Degree","inc025",0
"Latino","Man","Single","Graduate Degree","inc025",0
"Other","Man","Single","Graduate Degree","inc025",0
"White","Man","Single with Dependent(s)","No High School","inc025",0
"Black","Man","Single with Dependent(s)","No High School","inc025",0
"Latino","Man","Single with Dependent(s)","No High School","inc025",2
"Other","Man","Single with Dependent(s)","No High School","inc025",0
"White","Man","Single with Dependent(s)","High School","inc025",0
"Black","Man","Single with Dependent(s)","High School","inc025",1
"Latino","Man","Single with Dependent(s)","High School","inc025",0
"Other","Man","Single with Dependent(s)","High School","inc025",1
"White","Man","Single with Dependent(s)","Some College","inc025",0
"Black","Man","Single with Dependent(s)","Some College","inc025",0
"Latino","Man","Single with Dependent(s)","Some College","inc025",0
"Other","Man","Single with Dependent(s)","Some College","inc025",1
"White","Man","Single with Dependent(s)","Bachelor's Degree","inc025",2
"Black","Man","Single with Dependent(s)","Bachelor's Degree","inc025",0
"Latino","Man","Single with Dependent(s)","Bachelor's Degree","inc025",0
"Other","Man","Single with Dependent(s)","Bachelor's Degree","inc025",0
"White","Man","Single with Dependent(s)","Graduate Degree","inc025",0
"Black","Man","Single with Dependent(s)","Graduate Degree","inc025",0
"Latino","Man","Single with Dependent(s)","Graduate Degree","inc025",0
"Other","Man","Single with Dependent(s)","Graduate Degree","inc025",0
"White","Man","Couple","No High School","inc025",6
"Black","Man","Couple","No High School","inc025",1
"Latino","Man","Couple","No High School","inc025",4
"Other","Man","Couple","No High School","inc025",0
"White","Man","Couple","High School","inc025",7
"Black","Man","Couple","High School","inc025",3
"Latino","Man","Couple","High School","inc025",2
"Other","Man","Couple","High School","inc025",1
"White","Man","Couple","Some College","inc025",4
"Black","Man","Couple","Some College","inc025",1
"Latino","Man","Couple","Some College","inc025",2
"Other","Man","Couple","Some College","inc025",0
"White","Man","Couple","Bachelor's Degree","inc025",1
"Black","Man","Couple","Bachelor's Degree","inc025",0
"Latino","Man","Couple","Bachelor's Degree","inc025",0
"Other","Man","Couple","Bachelor's Degree","inc025",0
"White","Man","Couple","Graduate Degree","inc025",1
"Black","Man","Couple","Graduate Degree","inc025",0
"Latino","Man","Couple","Graduate Degree","inc025",0
"Other","Man","Couple","Graduate Degree","inc025",1
"White","Man","Single","No High School","inc025",6
"Black","Man","Single","No High School","inc025",3
"Latino","Man","Single","No High School","inc025",2
"Other","Man","Single","No High School","inc025",1
"White","Man","Single","High School","inc025",14
"Black","Man","Single","High School","inc025",3
"Latino","Man","Single","High School","inc025",1
"Other","Man","Single","High School","inc025",1
"White","Man","Single","Some College","inc025",13
"Black","Man","Single","Some College","inc025",2
"Latino","Man","Single","Some College","inc025",2
"Other","Man","Single","Some College","inc025",1
"White","Man","Single","Bachelor's Degree","inc025",6
"Black","Man","Single","Bachelor's Degree","inc025",1
"Latino","Man","Single","Bachelor's Degree","inc025",0
"Other","Man","Single","Bachelor's Degree","inc025",1
"White","Man","Single","Graduate Degree","inc025",2
"Black","Man","Single","Graduate Degree","inc025",1
"Latino","Man","Single","Graduate Degree","inc025",0
"Other","Man","Single","Graduate Degree","inc025",0
"White","Man","Single with Dependent(s)","No High School","inc025",2
"Black","Man","Single with Dependent(s)","No High School","inc025",2
"Latino","Man","Single with Dependent(s)","No High School","inc025",4
"Other","Man","Single with Dependent(s)","No High School","inc025",0
"White","Man","Single with Dependent(s)","High School","inc025",3
"Black","Man","Single with Dependent(s)","High School","inc025",4
"Latino","Man","Single with Dependent(s)","High School","inc025",1
"Other","Man","Single with Dependent(s)","High School","inc025",1
"White","Man","Single with Dependent(s)","Some College","inc025",4
"Black","Man","Single with Dependent(s)","Some College","inc025",3
"Latino","Man","Single with Dependent(s)","Some College","inc025",1
"Other","Man","Single with Dependent(s)","Some College","inc025",0
"White","Man","Single with Dependent(s)","Bachelor's Degree","inc025",2
"Black","Man","Single with Dependent(s)","Bachelor's Degree","inc025",0
"Latino","Man","Single with Dependent(s)","Bachelor's Degree","inc025",0
"Other","Man","Single with Dependent(s)","Bachelor's Degree","inc025",0
"White","Man","Single with Dependent(s)","Graduate Degree","inc025",0
"Black","Man","Single with Dependent(s)","Graduate Degree","inc025",0
"Latino","Man","Single with Dependent(s)","Graduate Degree","inc025",0
"Other","Man","Single with Dependent(s)","Graduate Degree","inc025",0
"White","Man","Couple","No High School","inc025",3
"Black","Man","Couple","No High School","inc025",1
"Latino","Man","Couple","No High School","inc025",4
"Other","Man","Couple","No High School","inc025",0
"White","Man","Couple","High School","inc025",10
"Black","Man","Couple","High School","inc025",2
"Latino","Man","Couple","High School","inc025",3
"Other","Man","Couple","High School","inc025",1
"White","Man","Couple","Some College","inc025",2
"Black","Man","Couple","Some College","inc025",2
"Latino","Man","Couple","Some College","inc025",2
"Other","Man","Couple","Some College","inc025",1
"White","Man","Couple","Bachelor's Degree","inc025",2
"Black","Man","Couple","Bachelor's Degree","inc025",0
"Latino","Man","Couple","Bachelor's Degree","inc025",0
"Other","Man","Couple","Bachelor's Degree","inc025",0
"White","Man","Couple","Graduate Degree","inc025",1
"Black","Man","Couple","Graduate Degree","inc025",0
"Latino","Man","Couple","Graduate Degree","inc025",0
"Other","Man","Couple","Graduate Degree","inc025",0
"White","Man","Single","No High School","inc2550",2
"Black","Man","Single","No High School","inc2550",0
"Latino","Man","Single","No High School","inc2550",1
"Other","Man","Single","No High School","inc2550",0
"White","Man","Single","High School","inc2550",4
"Black","Man","Single","High School","inc2550",2
"Latino","Man","Single","High School","inc2550",2
"Other","Man","Single","High School","inc2550",0
"White","Man","Single","Some College","inc2550",8
"Black","Man","Single","Some College","inc2550",2
"Latino","Man","Single","Some College","inc2550",1
"Other","Man","Single","Some College","inc2550",0
"White","Man","Single","Bachelor's Degree","inc2550",8
"Black","Man","Single","Bachelor's Degree","inc2550",0
"Latino","Man","Single","Bachelor's Degree","inc2550",0
"Other","Man","Single","Bachelor's Degree","inc2550",0
"White","Man","Single","Graduate Degree","inc2550",2
"Black","Man","Single","Graduate Degree","inc2550",0
"Latino","Man","Single","Graduate Degree","inc2550",0
"Other","Man","Single","Graduate Degree","inc2550",1
"White","Man","Single with Dependent(s)","No High School","inc2550",0
"Black","Man","Single with Dependent(s)","No High School","inc2550",1
"Latino","Man","Single with Dependent(s)","No High School","inc2550",0
"Other","Man","Single with Dependent(s)","No High School","inc2550",0
"White","Man","Single with Dependent(s)","High School","inc2550",3
"Black","Man","Single with Dependent(s)","High School","inc2550",0
"Latino","Man","Single with Dependent(s)","High School","inc2550",0
"Other","Man","Single with Dependent(s)","High School","inc2550",1
"White","Man","Single with Dependent(s)","Some College","inc2550",1
"Black","Man","Single with Dependent(s)","Some College","inc2550",0
"Latino","Man","Single with Dependent(s)","Some College","inc2550",0
"Other","Man","Single with Dependent(s)","Some College","inc2550",0
"White","Man","Single with Dependent(s)","Bachelor's Degree","inc2550",1
"Black","Man","Single with Dependent(s)","Bachelor's Degree","inc2550",0
"Latino","Man","Single with Dependent(s)","Bachelor's Degree","inc2550",0
"Other","Man","Single with Dependent(s)","Bachelor's Degree","inc2550",0
"White","Man","Single with Dependent(s)","Graduate Degree","inc2550",0
"Black","Man","Single with Dependent(s)","Graduate Degree","inc2550",0
"Latino","Man","Single with Dependent(s)","Graduate Degree","inc2550",0
"Other","Man","Single with Dependent(s)","Graduate Degree","inc2550",0
"White","Man","Couple","No High School","inc2550",3
"Black","Man","Couple","No High School","inc2550",1
"Latino","Man","Couple","No High School","inc2550",7
"Other","Man","Couple","No High School","inc2550",2
"White","Man","Couple","High School","inc2550",22
"Black","Man","Couple","High School","inc2550",1
"Latino","Man","Couple","High School","inc2550",4
"Other","Man","Couple","High School","inc2550",0
"White","Man","Couple","Some College","inc2550",12
"Black","Man","Couple","Some College","inc2550",2
"Latino","Man","Couple","Some College","inc2550",1
"Other","Man","Couple","Some College","inc2550",1
"White","Man","Couple","Bachelor's Degree","inc2550",6
"Black","Man","Couple","Bachelor's Degree","inc2550",0
"Latino","Man","Couple","Bachelor's Degree","inc2550",1
"Other","Man","Couple","Bachelor's Degree","inc2550",1
"White","Man","Couple","Graduate Degree","inc2550",2
"Black","Man","Couple","Graduate Degree","inc2550",0
