race,gender,familyType,education,income,icon
white,man,single,noHS,inc200225,0
black,man,single,noHS,inc200225,0
latino,man,single,noHS,inc200225,0
other,man,single,noHS,inc200225,0
white,man,single,HS,inc200225,0
black,man,single,HS,inc200225,0
latino,man,single,HS,inc200225,0
other,man,single,HS,inc200225,0
white,man,single,someCollege,inc200225,0
black,man,single,someCollege,inc200225,0
latino,man,single,someCollege,inc200225,0
other,man,single,someCollege,inc200225,0
white,man,single,BA,inc200225,0
black,man,single,BA,inc200225,0
latino,man,single,BA,inc200225,0
other,man,single,BA,inc200225,0
white,man,single,grad,inc200225,1
black,man,single,grad,inc200225,0
latino,man,single,grad,inc200225,0
other,man,single,grad,inc200225,0
white,man,singleWDependent,noHS,inc200225,0
black,man,singleWDependent,noHS,inc200225,0
latino,man,singleWDependent,noHS,inc200225,0
other,man,singleWDependent,noHS,inc200225,0
white,man,singleWDependent,HS,inc200225,0
black,man,singleWDependent,HS,inc200225,0
latino,man,singleWDependent,HS,inc200225,0
other,man,singleWDependent,HS,inc200225,0
white,man,singleWDependent,someCollege,inc200225,0
black,man,singleWDependent,someCollege,inc200225,0
latino,man,singleWDependent,someCollege,inc200225,0
other,man,singleWDependent,someCollege,inc200225,0
white,man,singleWDependent,BA,inc200225,0
black,man,singleWDependent,BA,inc200225,0
latino,man,singleWDependent,BA,inc200225,0
other,man,singleWDependent,BA,inc200225,0
white,man,singleWDependent,grad,inc200225,0
black,man,singleWDependent,grad,inc200225,0
latino,man,singleWDependent,grad,inc200225,0
other,man,singleWDependent,grad,inc200225,0
white,man,Couple,noHS,inc200225,0
black,man,Couple,noHS,inc200225,0
latino,man,Couple,noHS,inc200225,0
other,man,Couple,noHS,inc200225,0
white,man,Couple,HS,inc200225,2
black,man,Couple,HS,inc200225,0
latino,man,Couple,HS,inc200225,0
other,man,Couple,HS,inc200225,0
white,man,Couple,someCollege,inc200225,1
black,man,Couple,someCollege,inc200225,0
latino,man,Couple,someCollege,inc200225,0
other,man,Couple,someCollege,inc200225,0
white,man,Couple,BA,inc200225,2
black,man,Couple,BA,inc200225,0
latino,man,Couple,BA,inc200225,0
other,man,Couple,BA,inc200225,0
white,man,Couple,grad,inc200225,2
black,man,Couple,grad,inc200225,1
latino,man,Couple,grad,inc200225,0
other,man,Couple,grad,inc200225,0
white,woman,single,noHS,inc200225,0
black,woman,single,noHS,inc200225,0
latino,woman,single,noHS,inc200225,0
other,woman,single,noHS,inc200225,0
white,woman,single,HS,inc200225,0
black,woman,single,HS,inc200225,0
latino,woman,single,HS,inc200225,0
other,woman,single,HS,inc200225,0
white,woman,single,someCollege,inc200225,0
black,woman,single,someCollege,inc200225,0
latino,woman,single,someCollege,inc200225,0
other,woman,single,someCollege,inc200225,0
white,woman,single,BA,inc200225,0
black,woman,single,BA,inc200225,0
latino,woman,single,BA,inc200225,0
other,woman,single,BA,inc200225,0
white,woman,single,grad,inc200225,0
black,woman,single,grad,inc200225,0
latino,woman,single,grad,inc200225,0
other,woman,single,grad,inc200225,0
white,woman,singleWDependent,noHS,inc200225,0
black,woman,singleWDependent,noHS,inc200225,0
latino,woman,singleWDependent,noHS,inc200225,0
other,woman,singleWDependent,noHS,inc200225,0
white,woman,singleWDependent,HS,inc200225,0
black,woman,singleWDependent,HS,inc200225,0
latino,woman,singleWDependent,HS,inc200225,0
other,woman,singleWDependent,HS,inc200225,0
white,woman,singleWDependent,someCollege,inc200225,0
black,woman,singleWDependent,someCollege,inc200225,0
latino,woman,singleWDependent,someCollege,inc200225,0
other,woman,singleWDependent,someCollege,inc200225,0
white,woman,singleWDependent,BA,inc200225,0
black,woman,singleWDependent,BA,inc200225,0
latino,woman,singleWDependent,BA,inc200225,0
other,woman,singleWDependent,BA,inc200225,0
white,woman,singleWDependent,grad,inc200225,0
black,woman,singleWDependent,grad,inc200225,0
latino,woman,singleWDependent,grad,inc200225,0
other,woman,singleWDependent,grad,inc200225,0
white,woman,Couple,noHS,inc200225,0
black,woman,Couple,noHS,inc200225,0
latino,woman,Couple,noHS,inc200225,0
other,woman,Couple,noHS,inc200225,0
white,woman,Couple,HS,inc200225,0
black,woman,Couple,HS,inc200225,0
latino,woman,Couple,HS,inc200225,0
other,woman,Couple,HS,inc200225,0
white,woman,Couple,someCollege,inc200225,1
black,woman,Couple,someCollege,inc200225,0
latino,woman,Couple,someCollege,inc200225,0
other,woman,Couple,someCollege,inc200225,0
white,woman,Couple,BA,inc200225,4
black,woman,Couple,BA,inc200225,0
latino,woman,Couple,BA,inc200225,0
other,woman,Couple,BA,inc200225,0
white,woman,Couple,grad,inc200225,2
black,woman,Couple,grad,inc200225,1
latino,woman,Couple,grad,inc200225,0
other,woman,Couple,grad,inc200225,0
white,man,single,noHS,inc225250,0
black,man,single,noHS,inc225250,0
latino,man,single,noHS,inc225250,0
other,man,single,noHS,inc225250,0
white,man,single,HS,inc225250,0
black,man,single,HS,inc225250,0
latino,man,single,HS,inc225250,0
other,man,single,HS,inc225250,0
white,man,single,someCollege,inc225250,0
black,man,single,someCollege,inc225250,0
latino,man,single,someCollege,inc225250,0
other,man,single,someCollege,inc225250,0
white,man,single,BA,inc225250,0
black,man,single,BA,inc225250,0
latino,man,single,BA,inc225250,0
other,man,single,BA,inc225250,0
white,man,single,grad,inc225250,0
black,man,single,grad,inc225250,0
latino,man,single,grad,inc225250,0
other,man,single,grad,inc225250,0
white,man,singleWDependent,noHS,inc225250,0
black,man,singleWDependent,noHS,inc225250,0
latino,man,singleWDependent,noHS,inc225250,0
other,man,singleWDependent,noHS,inc225250,0
white,man,singleWDependent,HS,inc225250,0
black,man,singleWDependent,HS,inc225250,0
latino,man,singleWDependent,HS,inc225250,0
other,man,singleWDependent,HS,inc225250,0
white,man,singleWDependent,someCollege,inc225250,0
black,man,singleWDependent,someCollege,inc225250,0
latino,man,singleWDependent,someCollege,inc225250,0
other,man,singleWDependent,someCollege,inc225250,0
white,man,singleWDependent,BA,inc225250,0
black,man,singleWDependent,BA,inc225250,0
latino,man,singleWDependent,BA,inc225250,0
other,man,singleWDependent,BA,inc225250,0
white,man,singleWDependent,grad,inc225250,0
black,man,singleWDependent,grad,inc225250,0
latino,man,singleWDependent,grad,inc225250,0
other,man,singleWDependent,grad,inc225250,0
white,man,Couple,noHS,inc225250,0
black,man,Couple,noHS,inc225250,0
latino,man,Couple,noHS,inc225250,0
other,man,Couple,noHS,inc225250,0
white,man,Couple,HS,inc225250,0
black,man,Couple,HS,inc225250,0
latino,man,Couple,HS,inc225250,0
other,man,Couple,HS,inc225250,0
white,man,Couple,someCollege,inc225250,2
black,man,Couple,someCollege,inc225250,0
latino,man,Couple,someCollege,inc225250,0
other,man,Couple,someCollege,inc225250,0
white,man,Couple,BA,inc225250,1
black,man,Couple,BA,inc225250,0
latino,man,Couple,BA,inc225250,0
other,man,Couple,BA,inc225250,1
white,man,Couple,grad,inc225250,1
black,man,Couple,grad,inc225250,0
latino,man,Couple,grad,inc225250,0
other,man,Couple,grad,inc225250,0
white,woman,single,noHS,inc225250,0
black,woman,single,noHS,inc225250,0
latino,woman,single,noHS,inc225250,0
other,woman,single,noHS,inc225250,0
white,woman,single,HS,inc225250,0
black,woman,single,HS,inc225250,0
latino,woman,single,HS,inc225250,0
other,woman,single,HS,inc225250,0
white,woman,single,someCollege,inc225250,0
black,woman,single,someCollege,inc225250,0
latino,woman,single,someCollege,inc225250,0
other,woman,single,someCollege,inc225250,0
white,woman,single,BA,inc225250,0
black,woman,single,BA,inc225250,0
latino,woman,single,BA,inc225250,0
other,woman,single,BA,inc225250,0
white,woman,single,grad,inc225250,0
black,woman,single,grad,inc225250,0
latino,woman,single,grad,inc225250,0
other,woman,single,grad,inc225250,0
white,woman,singleWDependent,noHS,inc225250,0
black,woman,singleWDependent,noHS,inc225250,0
latino,woman,singleWDependent,noHS,inc225250,0
other,woman,singleWDependent,noHS,inc225250,0
white,woman,singleWDependent,HS,inc225250,0
black,woman,singleWDependent,HS,inc225250,0
latino,woman,singleWDependent,HS,inc225250,0
other,woman,singleWDependent,HS,inc225250,0
white,woman,singleWDependent,someCollege,inc225250,0
black,woman,singleWDependent,someCollege,inc225250,0
latino,woman,singleWDependent,someCollege,inc225250,0
other,woman,singleWDependent,someCollege,inc225250,0
white,woman,singleWDependent,BA,inc225250,0
black,woman,singleWDependent,BA,inc225250,0
latino,woman,singleWDependent,BA,inc225250,0
other,woman,singleWDependent,BA,inc225250,0
white,woman,singleWDependent,grad,inc225250,0
black,woman,singleWDependent,grad,inc225250,0
latino,woman,singleWDependent,grad,inc225250,0
other,woman,singleWDependent,grad,inc225250,0
white,woman,Couple,noHS,inc225250,0
black,woman,Couple,noHS,inc225250,0
latino,woman,Couple,noHS,inc225250,0
other,woman,Couple,noHS,inc225250,0
white,woman,Couple,HS,inc225250,1
black,woman,Couple,HS,inc225250,0
latino,woman,Couple,HS,inc225250,0
other,woman,Couple,HS,inc225250,0
white,woman,Couple,someCollege,inc225250,1
black,woman,Couple,someCollege,inc225250,0
latino,woman,Couple,someCollege,inc225250,0
other,woman,Couple,someCollege,inc225250,0
white,woman,Couple,BA,inc225250,1
black,woman,Couple,BA,inc225250,0
latino,woman,Couple,BA,inc225250,0
other,woman,Couple,BA,inc225250,1
white,woman,Couple,grad,inc225250,1
black,woman,Couple,grad,inc225250,0
latino,woman,Couple,grad,inc225250,0
other,woman,Couple,grad,inc225250,0
white,man,single,noHS,inc250275,0
black,man,single,noHS,inc250275,0
latino,man,single,noHS,inc250275,0
other,man,single,noHS,inc250275,0
white,man,single,HS,inc250275,0
black,man,single,HS,inc250275,0
latino,man,single,HS,inc250275,0
other,man,single,HS,inc250275,0
white,man,single,someCollege,inc250275,0
black,man,single,someCollege,inc250275,0
latino,man,single,someCollege,inc250275,0
other,man,single,someCollege,inc250275,0
white,man,single,BA,inc250275,0
black,man,single,BA,inc250275,0
latino,man,single,BA,inc250275,0
other,man,single,BA,inc250275,0
white,man,single,grad,inc250275,0
black,man,single,grad,inc250275,0
latino,man,single,grad,inc250275,0
other,man,single,grad,inc250275,0
white,man,singleWDependent,noHS,inc250275,0
black,man,singleWDependent,noHS,inc250275,0
latino,man,singleWDependent,noHS,inc250275,0
other,man,singleWDependent,noHS,inc250275,0
white,man,singleWDependent,HS,inc250275,0
black,man,singleWDependent,HS,inc250275,0
latino,man,singleWDependent,HS,inc250275,0
other,man,singleWDependent,HS,inc250275,0
white,man,singleWDependent,someCollege,inc250275,0
black,man,singleWDependent,someCollege,inc250275,0
latino,man,singleWDependent,someCollege,inc250275,0
other,man,singleWDependent,someCollege,inc250275,0
white,man,singleWDependent,BA,inc250275,0
black,man,singleWDependent,BA,inc250275,0
latino,man,singleWDependent,BA,inc250275,0
other,man,singleWDependent,BA,inc250275,0
white,man,singleWDependent,grad,inc250275,0
black,man,singleWDependent,grad,inc250275,0
latino,man,singleWDependent,grad,inc250275,0
other,man,singleWDependent,grad,inc250275,0
white,man,Couple,noHS,inc250275,0
black,man,Couple,noHS,inc250275,0
latino,man,Couple,noHS,inc250275,0
other,man,Couple,noHS,inc250275,0
white,man,Couple,HS,inc250275,0
black,man,Couple,HS,inc250275,0
latino,man,Couple,HS,inc250275,0
other,man,Couple,HS,inc250275,0
white,man,Couple,someCollege,inc250275,0
black,man,Couple,someCollege,inc250275,0
latino,man,Couple,someCollege,inc250275,0
other,man,Couple,someCollege,inc250275,0
white,man,Couple,BA,inc250275,1
black,man,Couple,BA,inc250275,0
latino,man,Couple,BA,inc250275,0
other,man,Couple,BA,inc250275,0
white,man,Couple,grad,inc250275,1
black,man,Couple,grad,inc250275,0
latino,man,Couple,grad,inc250275,0
other,man,Couple,grad,inc250275,0
white,woman,single,noHS,inc250275,0
black,woman,single,noHS,inc250275,0
latino,woman,single,noHS,inc250275,0
other,woman,single,noHS,inc250275,0
white,woman,single,HS,inc250275,0
black,woman,single,HS,inc250275,0
latino,woman,single,HS,inc250275,0
other,woman,single,HS,inc250275,0
white,woman,single,someCollege,inc250275,0
black,woman,single,someCollege,inc250275,0
latino,woman,single,someCollege,inc250275,0
other,woman,single,someCollege,inc250275,0
white,woman,single,BA,inc250275,0
black,woman,single,BA,inc250275,0
latino,woman,single,BA,inc250275,0
other,woman,single,BA,inc250275,0
white,woman,single,grad,inc250275,0
black,woman,single,grad,inc250275,0
latino,woman,single,grad,inc250275,0
other,woman,single,grad,inc250275,0
white,woman,singleWDependent,noHS,inc250275,0
black,woman,singleWDependent,noHS,inc250275,0
latino,woman,singleWDependent,noHS,inc250275,0
other,woman,singleWDependent,noHS,inc250275,0
white,woman,singleWDependent,HS,inc250275,0
black,woman,singleWDependent,HS,inc250275,0
latino,woman,singleWDependent,HS,inc250275,0
other,woman,singleWDependent,HS,inc250275,0
white,woman,singleWDependent,someCollege,inc250275,0
black,woman,singleWDependent,someCollege,inc250275,0
latino,woman,singleWDependent,someCollege,inc250275,0
other,woman,singleWDependent,someCollege,inc250275,0
white,woman,singleWDependent,BA,inc250275,0
black,woman,singleWDependent,BA,inc250275,1
latino,woman,singleWDependent,BA,inc250275,0
other,woman,singleWDependent,BA,inc250275,0
white,woman,singleWDependent,grad,inc250275,0
black,woman,singleWDependent,grad,inc250275,0
latino,woman,singleWDependent,grad,inc250275,0
other,woman,singleWDependent,grad,inc250275,0
white,woman,Couple,noHS,inc250275,0
black,woman,Couple,noHS,inc250275,0
latino,woman,Couple,noHS,inc250275,0
other,woman,Couple,noHS,inc250275,0
white,woman,Couple,HS,inc250275,0
black,woman,Couple,HS,inc250275,0
latino,woman,Couple,HS,inc250275,0
other,woman,Couple,HS,inc250275,0
white,woman,Couple,someCollege,inc250275,0
black,woman,Couple,someCollege,inc250275,0
latino,woman,Couple,someCollege,inc250275,0
other,woman,Couple,someCollege,inc250275,0
white,woman,Couple,BA,inc250275,1
black,woman,Couple,BA,inc250275,0
latino,woman,Couple,BA,inc250275,0
other,woman,Couple,BA,inc250275,0
white,woman,Couple,grad,inc250275,1
black,woman,Couple,grad,inc250275,0
latino,woman,Couple,grad,inc250275,0
other,woman,Couple,grad,inc250275,0
white,man,single,noHS,inc275300,0
black,man,single,noHS,inc275300,0
latino,man,single,noHS,inc275300,0
other,man,single,noHS,inc275300,0
white,man,single,HS,inc275300,0
black,man,single,HS,inc275300,0
latino,man,single,HS,inc275300,0
other,man,single,HS,inc275300,0
white,man,single,someCollege,inc275300,0
black,man,single,someCollege,inc275300,0
latino,man,single,someCollege,inc275300,0
other,man,single,someCollege,inc275300,0
white,man,single,BA,inc275300,0
black,man,single,BA,inc275300,0
latino,man,single,BA,inc275300,0
other,man,single,BA,inc275300,0
white,man,single,grad,inc275300,0
black,man,single,grad,inc275300,0
latino,man,single,grad,inc275300,0
other,man,single,grad,inc275300,0
white,man,singleWDependent,noHS,inc275300,0
black,man,singleWDependent,noHS,inc275300,0
latino,man,singleWDependent,noHS,inc275300,0
other,man,singleWDependent,noHS,inc275300,0
white,man,singleWDependent,HS,inc275300,0
black,man,singleWDependent,HS,inc275300,0
latino,man,singleWDependent,HS,inc275300,0
other,man,singleWDependent,HS,inc275300,0
white,man,singleWDependent,someCollege,inc275300,0
black,man,singleWDependent,someCollege,inc275300,0
latino,man,singleWDependent,someCollege,inc275300,0
other,man,singleWDependent,someCollege,inc275300,0
white,man,singleWDependent,BA,inc275300,0
black,man,singleWDependent,BA,inc275300,0
latino,man,singleWDependent,BA,inc275300,0
other,man,singleWDependent,BA,inc275300,0
white,man,singleWDependent,grad,inc275300,0
black,man,singleWDependent,grad,inc275300,0
latino,man,singleWDependent,grad,inc275300,0
other,man,singleWDependent,grad,inc275300,0
white,man,Couple,noHS,inc275300,0
black,man,Couple,noHS,inc275300,0
latino,man,Couple,noHS,inc275300,0
other,man,Couple,noHS,inc275300,0
white,man,Couple,HS,inc275300,0
black,man,Couple,HS,inc275300,0
latino,man,Couple,HS,inc275300,0
other,man,Couple,HS,inc275300,0
white,man,Couple,someCollege,inc275300,0
black,man,Couple,someCollege,inc275300,0
latino,man,Couple,someCollege,inc275300,0
other,man,Couple,someCollege,inc275300,0
white,man,Couple,BA,inc275300,1
black,man,Couple,BA,inc275300,0
latino,man,Couple,BA,inc275300,0
other,man,Couple,BA,inc275300,0
white,man,Couple,grad,inc275300,1
black,man,Couple,grad,inc275300,0
latino,man,Couple,grad,inc275300,1
other,man,Couple,grad,inc275300,0
white,woman,single,noHS,inc275300,0
black,woman,single,noHS,inc275300,0
latino,woman,single,noHS,inc275300,0
other,woman,single,noHS,inc275300,0
white,woman,single,HS,inc275300,0
black,woman,single,HS,inc275300,0
latino,woman,single,HS,inc275300,0
other,woman,single,HS,inc275300,0
white,woman,single,someCollege,inc275300,0
black,woman,single,someCollege,inc275300,0
latino,woman,single,someCollege,inc275300,0
other,woman,single,someCollege,inc275300,0
white,woman,single,BA,inc275300,0
black,woman,single,BA,inc275300,0
latino,woman,single,BA,inc275300,0
other,woman,single,BA,inc275300,0
white,woman,single,grad,inc275300,0
black,woman,single,grad,inc275300,0
latino,woman,single,grad,inc275300,0
other,woman,single,grad,inc275300,0
white,woman,singleWDependent,noHS,inc275300,0
black,woman,singleWDependent,noHS,inc275300,0
latino,woman,singleWDependent,noHS,inc275300,0
other,woman,singleWDependent,noHS,inc275300,0
white,woman,singleWDependent,HS,inc275300,0
black,woman,singleWDependent,HS,inc275300,0
latino,woman,singleWDependent,HS,inc275300,0
other,woman,singleWDependent,HS,inc275300,0
white,woman,singleWDependent,someCollege,inc275300,0
black,woman,singleWDependent,someCollege,inc275300,0
latino,woman,singleWDependent,someCollege,inc275300,0
other,woman,singleWDependent,someCollege,inc275300,0
white,woman,singleWDependent,BA,inc275300,0
black,woman,singleWDependent,BA,inc275300,0
latino,woman,singleWDependent,BA,inc275300,0
other,woman,singleWDependent,BA,inc275300,0
white,woman,singleWDependent,grad,inc275300,0
black,woman,singleWDependent,grad,inc275300,0
latino,woman,singleWDependent,grad,inc275300,0
other,woman,singleWDependent,grad,inc275300,0
white,woman,Couple,noHS,inc275300,0
black,woman,Couple,noHS,inc275300,0
latino,woman,Couple,noHS,inc275300,0
other,woman,Couple,noHS,inc275300,0
white,woman,Couple,HS,inc275300,0
black,woman,Couple,HS,inc275300,0
latino,woman,Couple,HS,inc275300,0
other,woman,Couple,HS,inc275300,0
white,woman,Couple,someCollege,inc275300,1
black,woman,Couple,someCollege,inc275300,0
latino,woman,Couple,someCollege,inc275300,0
other,woman,Couple,someCollege,inc275300,0
white,woman,Couple,BA,inc275300,1
black,woman,Couple,BA,inc275300,0
latino,woman,Couple,BA,inc275300,0
other,woman,Couple,BA,inc275300,0
white,woman,Couple,grad,inc275300,0
black,woman,Couple,grad,inc275300,0
latino,woman,Couple,grad,inc275300,1
other,woman,Couple,grad,inc275300,0
white,man,single,noHS,inc300325,0
black,man,single,noHS,inc300325,0
latino,man,single,noHS,inc300325,0
other,man,single,noHS,inc300325,0
white,man,single,HS,inc300325,0
black,man,single,HS,inc300325,0
latino,man,single,HS,inc300325,0
other,man,single,HS,inc300325,0
white,man,single,someCollege,inc300325,0
black,man,single,someCollege,inc300325,0
latino,man,single,someCollege,inc300325,0
other,man,single,someCollege,inc300325,0
white,man,single,BA,inc300325,0
black,man,single,BA,inc300325,0
latino,man,single,BA,inc300325,0
other,man,single,BA,inc300325,0
white,man,single,grad,inc300325,0
black,man,single,grad,inc300325,0
latino,man,single,grad,inc300325,0
other,man,single,grad,inc300325,0
white,man,singleWDependent,noHS,inc300325,0
black,man,singleWDependent,noHS,inc300325,0
latino,man,singleWDependent,noHS,inc300325,0
other,man,singleWDependent,noHS,inc300325,0
white,man,singleWDependent,HS,inc300325,0
black,man,singleWDependent,HS,inc300325,0
latino,man,singleWDependent,HS,inc300325,0
other,man,singleWDependent,HS,inc300325,0
white,man,singleWDependent,someCollege,inc300325,0
black,man,singleWDependent,someCollege,inc300325,0
latino,man,singleWDependent,someCollege,inc300325,0
other,man,singleWDependent,someCollege,inc300325,0
white,man,singleWDependent,BA,inc300325,0
black,man,singleWDependent,BA,inc300325,0
latino,man,singleWDependent,BA,inc300325,0
other,man,singleWDependent,BA,inc300325,0
white,man,singleWDependent,grad,inc300325,0
black,man,singleWDependent,grad,inc300325,0
latino,man,singleWDependent,grad,inc300325,0
other,man,singleWDependent,grad,inc300325,0
white,man,Couple,noHS,inc300325,0
black,man,Couple,noHS,inc300325,0
latino,man,Couple,noHS,inc300325,0
other,man,Couple,noHS,inc300325,0
white,man,Couple,HS,inc300325,0
black,man,Couple,HS,inc300325,0
latino,man,Couple,HS,inc300325,0
other,man,Couple,HS,inc300325,0
white,man,Couple,someCollege,inc300325,0
black,man,Couple,someCollege,inc300325,0
latino,man,Couple,someCollege,inc300325,1
other,man,Couple,someCollege,inc300325,0
white,man,Couple,BA,inc300325,0
black,man,Couple,BA,inc300325,0
latino,man,Couple,BA,inc300325,0
other,man,Couple,BA,inc300325,0
white,man,Couple,grad,inc300325,1
black,man,Couple,grad,inc300325,0
latino,man,Couple,grad,inc300325,0
other,man,Couple,grad,inc300325,0
white,woman,single,noHS,inc300325,0
black,woman,single,noHS,inc300325,0
latino,woman,single,noHS,inc300325,0
other,woman,single,noHS,inc300325,0
white,woman,single,HS,inc300325,0
black,woman,single,HS,inc300325,0
latino,woman,single,HS,inc300325,0
other,woman,single,HS,inc300325,0
white,woman,single,someCollege,inc300325,0
black,woman,single,someCollege,inc300325,0
latino,woman,single,someCollege,inc300325,0
other,woman,single,someCollege,inc300325,0
white,woman,single,BA,inc300325,0
black,woman,single,BA,inc300325,0
latino,woman,single,BA,inc300325,0
other,woman,single,BA,inc300325,0
white,woman,single,grad,inc300325,0
black,woman,single,grad,inc300325,0
latino,woman,single,grad,inc300325,0
other,woman,single,grad,inc300325,0
white,woman,singleWDependent,noHS,inc300325,0
black,woman,singleWDependent,noHS,inc300325,0
latino,woman,singleWDependent,noHS,inc300325,0
other,woman,singleWDependent,noHS,inc300325,0
white,woman,singleWDependent,HS,inc300325,0
black,woman,singleWDependent,HS,inc300325,0
latino,woman,singleWDependent,HS,inc300325,0
other,woman,singleWDependent,HS,inc300325,0
white,woman,singleWDependent,someCollege,inc300325,0
black,woman,singleWDependent,someCollege,inc300325,0
latino,woman,singleWDependent,someCollege,inc300325,0
other,woman,singleWDependent,someCollege,inc300325,0
white,woman,singleWDependent,BA,inc300325,0
black,woman,singleWDependent,BA,inc300325,0
latino,woman,singleWDependent,BA,inc300325,0
other,woman,singleWDependent,BA,inc300325,0
white,woman,singleWDependent,grad,inc300325,0
black,woman,singleWDependent,grad,inc300325,0
latino,woman,singleWDependent,grad,inc300325,0
other,woman,singleWDependent,grad,inc300325,0
white,woman,Couple,noHS,inc300325,0
black,woman,Couple,noHS,inc300325,0
latino,woman,Couple,noHS,inc300325,0
other,woman,Couple,noHS,inc300325,0
white,woman,Couple,HS,inc300325,0
black,woman,Couple,HS,inc300325,0
latino,woman,Couple,HS,inc300325,0
other,woman,Couple,HS,inc300325,0
white,woman,Couple,someCollege,inc300325,0
black,woman,Couple,someCollege,inc300325,0
latino,woman,Couple,someCollege,inc300325,0
other,woman,Couple,someCollege,inc300325,0
white,woman,Couple,BA,inc300325,0
black,woman,Couple,BA,inc300325,0
latino,woman,Couple,BA,inc300325,1
other,woman,Couple,BA,inc300325,0
white,woman,Couple,grad,inc300325,1
black,woman,Couple,grad,inc300325,0
latino,woman,Couple,grad,inc300325,0
other,woman,Couple,grad,inc300325,0
white,man,single,noHS,inc325350,0
black,man,single,noHS,inc325350,0
latino,man,single,noHS,inc325350,0
other,man,single,noHS,inc325350,0
white,man,single,HS,inc325350,0
black,man,single,HS,inc325350,0
latino,man,single,HS,inc325350,0
other,man,single,HS,inc325350,0
white,man,single,someCollege,inc325350,0
black,man,single,someCollege,inc325350,0
latino,man,single,someCollege,inc325350,0
other,man,single,someCollege,inc325350,0
white,man,single,BA,inc325350,0
black,man,single,BA,inc325350,0
latino,man,single,BA,inc325350,0
other,man,single,BA,inc325350,0
white,man,single,grad,inc325350,0
black,man,single,grad,inc325350,0
latino,man,single,grad,inc325350,0
other,man,single,grad,inc325350,0
white,man,singleWDependent,noHS,inc325350,0
black,man,singleWDependent,noHS,inc325350,0
latino,man,singleWDependent,noHS,inc325350,0
other,man,singleWDependent,noHS,inc325350,0
white,man,singleWDependent,HS,inc325350,0
black,man,singleWDependent,HS,inc325350,0
latino,man,singleWDependent,HS,inc325350,0
other,man,singleWDependent,HS,inc325350,0
white,man,singleWDependent,someCollege,inc325350,0
black,man,singleWDependent,someCollege,inc325350,0
latino,man,singleWDependent,someCollege,inc325350,0
other,man,singleWDependent,someCollege,inc325350,0
white,man,singleWDependent,BA,inc325350,0
black,man,singleWDependent,BA,inc325350,0
latino,man,singleWDependent,BA,inc325350,0
other,man,singleWDependent,BA,inc325350,0
white,man,singleWDependent,grad,inc325350,0
black,man,singleWDependent,grad,inc325350,0
latino,man,singleWDependent,grad,inc325350,0
other,man,singleWDependent,grad,inc325350,0
white,man,Couple,noHS,inc325350,0
black,man,Couple,noHS,inc325350,0
latino,man,Couple,noHS,inc325350,0
other,man,Couple,noHS,inc325350,0
white,man,Couple,HS,inc325350,0
black,man,Couple,HS,inc325350,0
latino,man,Couple,HS,inc325350,0
other,man,Couple,HS,inc325350,0
white,man,Couple,someCollege,inc325350,0
black,man,Couple,someCollege,inc325350,0
latino,man,Couple,someCollege,inc325350,0
other,man,Couple,someCollege,inc325350,0
white,man,Couple,BA,inc325350,0
black,man,Couple,BA,inc325350,0
latino,man,Couple,BA,inc325350,0
other,man,Couple,BA,inc325350,0
white,man,Couple,grad,inc325350,0
black,man,Couple,grad,inc325350,0
latino,man,Couple,grad,inc325350,0
other,man,Couple,grad,inc325350,0
white,woman,single,noHS,inc325350,0
black,woman,single,noHS,inc325350,0
latino,woman,single,noHS,inc325350,0
other,woman,single,noHS,inc325350,0
white,woman,single,HS,inc325350,0
black,woman,single,HS,inc325350,0
latino,woman,single,HS,inc325350,0
other,woman,single,HS,inc325350,0
white,woman,single,someCollege,inc325350,0
black,woman,single,someCollege,inc325350,0
latino,woman,single,someCollege,inc325350,0
other,woman,single,someCollege,inc325350,0
white,woman,single,BA,inc325350,1
black,woman,single,BA,inc325350,0
latino,woman,single,BA,inc325350,0
other,woman,single,BA,inc325350,0
white,woman,single,grad,inc325350,0
black,woman,single,grad,inc325350,0
